gene,mean_in_cluster,mean_out_cluster,mean_difference,t_stat,p_value
ENSG00000117399,1.760837218524737,5.254494721518505,-3.4936575029937678,-27.789094669729867,4.60450907943026e-95
ENSG00000142945,0.4570126518792697,3.5621857902178453,-3.1051731383385754,-27.00937123790657,4.776692507657963e-95
ENSG00000145386,0.7314115138628947,3.4683812771074423,-2.7369697632445478,-25.96751152233146,1.0526695310683661e-91
ENSG00000134690,0.5773678861148553,3.4671454241910347,-2.889777538076179,-25.730744479995835,8.912199677204886e-90
ENSG00000134057,3.1591623179994737,5.566133986448362,-2.406971668448888,-25.78207385414928,1.1538616246095052e-89
ENSG00000166851,1.182645800039408,4.258143641682558,-3.07549784164315,-25.787630205764565,3.522731985366369e-87
ENSG00000088325,1.4658506558621054,4.672052076803247,-3.2062014209411416,-25.742688340264163,4.7301773368359586e-85
ENSG00000115163,-0.2213712999582171,3.153564746590891,-3.374936046549108,-25.74840956744529,5.724169365354096e-85
ENSG00000101057,0.5427592377782894,4.5792743742362925,-4.036515136458003,-25.854934573057317,8.770873311125499e-85
ENSG00000087586,1.2958927485119078,3.8929585222429886,-2.5970657737310807,-25.22874216341195,1.2364124160929681e-84
ENSG00000143228,0.1859523363510526,3.1973018468455177,-3.011349510494465,-24.79392025760182,1.173658346304288e-83
ENSG00000085840,-1.1015138946185263,1.5861957864287701,-2.6877096810472967,-24.123218518867212,4.199630947186648e-83
ENSG00000154839,-1.3731689206278355,1.7871075142609913,-3.160276434888827,-25.05005207437422,4.6297432236461926e-83
ENSG00000121152,0.4344530407204803,3.3053337965699425,-2.8708807558494622,-24.586801162174396,1.965579074013143e-82
ENSG00000178999,1.0537927147917763,4.37918751612954,-3.3253948013377634,-25.061199565201996,4.793469074209576e-81
ENSG00000175063,2.5025475172595395,6.164376696988391,-3.661829179728852,-25.46686707605594,5.081159776145372e-80
ENSG00000093009,0.37312429644092104,3.2516717783539373,-2.8785474819130163,-24.113210575402682,2.6103743487999652e-79
ENSG00000157456,1.2942567137290133,4.378775235609338,-3.084518521880325,-24.43792971484681,8.639593149842234e-79
ENSG00000111206,1.590763893617171,4.531647425227614,-2.940883531610443,-23.724966421150437,9.848053685530826e-79
ENSG00000165480,-0.6118719422290131,2.2641874614904856,-2.8760594037194984,-24.237390278565815,2.8076681322212146e-78
